oem,type,name,description,cost,rate,brand,models
45503-29846,内球头,45503-29846,RACK END TOYOTA HIACE QUANTTUM KDH205 4WD FROTISE,175,350,FROTISE,KDH205
BP4K-28-250F,后桥衬套,BP4K-28-250F,BUSH REAR AXLE BK BL AK AU FROTISE,171,342,FROTISE,"BK,BL,AK,AU"
48655-12050,衬套,48655-12050,ARM BUSH LOWER AE10# BIG FROTISE,45,90,FROTISE,AE10#
51391-S04-005,衬套,51391-S04-005,ARM BUSH LOWER HONDA CRV RD1(RUBBER) FROTISE,110,220,FROTISE,"RD1,EK3"
D2193,刹车片,D2193,BRAKE PAD MARK II GX110 MARK X GRX120 JCG10 CROWN GRS200 FR POWERKING (D2180),260,520,POWERKING,GX110
D2198,刹车片,D2198,BRAKE PAD IPSUM ACM2# NOAH VOXY ZRR7# ALPHARD ANH10 RR POWERKING,280,560,POWERKING,"ACM2#,ZRR7#,ACR30,ANH1#"
48071-12130,减震器顶胶,48071-12130,SHOCK MOUNTING AE10# AE11# AT21# RR RH FROTISE,171,342,FROTISE,AE10#
48072-12130,减震器顶胶,48072-12130,SHOCK MOUNTING AE10# AE11# AT21# RR LH FROTISE,171,342,FROTISE,AE10#
53450-68H16,行李箱减震器,53450-68H16,BOOT SHOCK ABSORBER HIACE SHARK LH117 LH FROTISE,171,342,FROTISE,LH11#
D2222,刹车片,D2222,BRAKE PAD MARK X GRX12# KLUGER MHU28 WISH ZNE10 FR POWERKING,300,600,POWERKING,"GRX12#,ACV30"
D2223,刹车片,D2223,BRAKE PAD ALPHARD ANH10 AVENSIS AZT25# CAMRY ACV3# FR POWERKING,290,580,POWERKING,"ANH10,MCL20"
54542-EB70A,衬套,54542-EB70A,"ARM BUSH Nissan NAVARA D40M,D40T,R51 FROTISE",100,200,FROTISE,"D40M,D40T,R51"
53450-69H17,行李箱减震器,53450-69H17,BOOT SHOCK ABSORBER HIACE SHARK LH117 RH FROTISE,171,342,FROTISE,LH11#
D2228,刹车片,D2228,BRAKE PAD PRADO KZJ120 KDJ150 HILUX REVO GGN2# GRN21# PAJERO V9# HILUX VIGO KUN25 FR (BP21482) POWERKING,430,860,POWERKING,"KZJ120,KDJ150,V97"
48702-60040,衬套,48702-60040,"ARM BUSH LAND CRUISER HZJ105,HDJ81 LOWER RR FROTISE",180,360,FROTISE,"HZJ105,HDJ81"
DAC35680233/30,轮毂轴承,DAC35680233/30,WHEEL BEARING STARLET EP9# FR BELCOT,171,342,BELCOT,EP9#
48702-0K020,悬挂臂衬套,48702-0K020,ARM BUSH FORTUNER GUN156 KUN40 RR R/L LOWER FROTISE,170,340,FROTISE,"GUN156,KUN40"
48655-22030F,衬套,48655-22030F,ARM BUSH MARK II GX90 GX100 LOWER FULL RUBBER FROTISE,135,270,FROTISE,"GX100,GX90"
90389-19002,衬套内管,90389-19002,ARM BUSH CORONA ST191 FROTISE,15,30,FROTISE,AT21#
40160-01G50,球头,40160-01G50,BALL JOINT NISSAN CARAVAN E24/ SAHARA D21 LOWER FROTISE,200,400,FROTISE,"D21,E24"
40160-VW000,球头,40160-VW000,BALL JOINT NISSAN CARAVAN E25 LOWER FROTISE,290,580,FROTISE,"E25,E26"
D2243,刹车片,D2243,BRAKE PAD MARK X GRX12# GRX130 CROWN GRS19# ALE20 RR POWERKING,240,480,POWERKING,GRX12#
43330-09070,球头,43330-09070,BALL JOINT COROLLA VVTI NZE120 LOWER  FROTISE,140,280,FROTISE,"ACA2#,AE10#,NZE12#"
43330-29405,球头,43330-29405,BALL JOINT HARRIER ACU30 LOWER RH FROTISE,180,360,FROTISE,"ACU3#,ACV3#,ACU25"
D2249,刹车片,D2249,BRAKE PAD HARRIER ACU3# MCU3# FR POWERKING,330,660,POWERKING,ACU3#
43330-39435,球头,43330-39435,BALL JOINT HARRIER ACU3# MCU1# LOWER FROTISE,160,320,FROTISE,"ACU3#,MCU1#,SXV20"
D2250,刹车片,D2250,BRAKE PAD RAV4'05-13 HIGHLANDER'00-07 ACU20 HARRIER'03-12 ACU3# MCU3# REAR (L=101.8 W=43.8 W=15.3) POWERKING,240,480,POWERKING,ACU3#
43330-60050,球头,43330-60050,BALL JOINT LAND CRUISER HDJ100 PRADO KDJ150 TRJ150 GDJ150 4RUNNER TRN285 GRN280 LOWER (43330-60040) FROTISE,270,540,FROTISE,HDJ100
D2251,刹车片,D2251,BRAKE PAD HIACE KDH200 FR MENTAL (BP21516) POWERKING,290,580,POWERKING,KDH20#
12305-11010B,机脚胶胶芯,12305-11010B,ENGINE MOUNTING BUSHING COROLLA AE110 5AFE FROTISE,170,340,FROTISE,EE10#
D2268,刹车片,D2268,BRAKE PAD RAV4 ACA3# BLADE GRE156 HARRIER ZSU60 FR POWERKING,370,740,POWERKING,ACA3#
40160-9W200,球头,40160-9W200,BALL JOINT TEANA J31 MURANO Z50 X-TRAIL T31 J10E LOWER FROTISE,175,350,FROTISE,"J31,Z50,T31,J10E"
43330-29125,球头,43330-29125,BALL JOINT HIACE YH50/LH113/LH172 LOWER JOKITO,130,260,JOKITO,LH11#
45503-30070,内球头,45503-30070,RACK END MARK X GRX120 CROWN GRS180 GRS190 R/L FROTISE,170,340,FROTISE,GRX120
43330-29275,球头,43330-29275,BALL JOINT MARK II GX90 LOWER RH  JOKITO,150,300,JOKITO,GX90
43330-29395,球头,43330-29395,BALL JOINT NOAH 4WD SR50 FR LOWER JOKITO,125,250,JOKITO,SR50
D2269,刹车片,D2269,BRAKE PAD RAV4 ACA33 ACV40 AZE14# RR (CERAMIC) POWERKING,250,500,POWERKING,"ACA3#,ACV40"
43330-49025,球头,43330-49025,BALL JOINT RAV4 SXA11 CORONA FR LOWER JOKITO,170,340,JOKITO,SXA1#
43340-29085,球头,43340-29085,BALL JOINT MARK II GX90 LOWER LH JOKITO,150,300,JOKITO,GX90
45503-80003,内球头,45503-80003,RACK END L/R TOYOTA NOAH AZR60 FROTISE,170,340,FROTISE,AZR6#
D2274,刹车片,D2274,BRAKE PAD VITZ NCP110 ALLION NZT260 AURIS ZRE152 NOAH ZRR70 RAV4 ACA33 FR POWERKING,350,700,POWERKING,"NCP110,NZT260,ZRE152,ZRR70,ACA33"
43330-49025,球头,43330-49025,BALL JOINT RAV4/CORONA SXA1# FR LOWER FROTISE,190,380,FROTISE,SXA1#
43340-39225,球头,43340-39225,BALL JOINT HILUX YN85 LOWER FROTISE,185,370,FROTISE,YN8#
D2278,刹车片,D2278,BRAKE PAD LAND CRUISER VDJ200 PRADO KDJ150 FR (CERAMIC) POWERKING,460,920,POWERKING,VDJ200
43330-29175,球头,43330-29175,BALL JOINT NOAH SR40 LOWER JOKITO,170,340,JOKITO,SR40
40160-0W025,球头,40160-0W025,BALL JOINT TERANO R50 E50 LOWER FROTISE,180,360,FROTISE,"R50,E50"
302F039,球头,302F039,BALL JOINT CANTER 4D35 UPPER FROTISE,170,340,FROTISE,4D35
343359,减震器,343359,SHOCK ABSORBER TOWNACE CR50 FR 4WD SHIELD,169,338,SHIELD,SR50
DAC38740236/33,轮毂轴承,DAC38740236/33,WHEEL BEARING CORONA AT21#/STARLET EP9#/RAV 4 SXA1# FR (SHARE WITH HARRIER 4X4 MCU15 RR ONLY) BELCOT,166.25,332.5,BELCOT,"AT21#,EP9#,SXA1#"
12371-31070,变速箱脚胶,12371-31070,ENGINE MOUNTING MARK X GRX120 RR FROTISE,165,330,FROTISE,GRX12#
MR161966,球头,MR161966,BALL JOINT MITSUBISHI GALANT/PAJERO IO H66/LANCER C62/72/74 CHARIOT LOWER FROTISE,130,260,FROTISE,H6#
48632-60030,悬挂臂衬套,48632-60030,ARM BUSH PRADO VDJ200 UPPER FHEAVY DUTY ROTISE,161.5,323,FROTISE,VDJ200
48632-60040,悬挂臂衬套,48632-60040,ARM BUSH UPPER KDJ150 FROTISE,161.5,323,FROTISE,KDJ15#
D2023,刹车片,D2023,BRAKE PAD COROLLA AE10# AE11#/CORONA AT18# AT21# FR (SMALL PIN) POWERKING,161.5,323,POWERKING,"AE10#,AT21#,EP8#,EP9#,SXA1#"
DAC35640037,轮毂轴承,DAC35640037,"WHEEL BEARING HONDA CRV RD1,RD2,RD3,RD4,RD5,RD6,RD7 PASSO KGC10 DUET M100A FR BELCOT",161.5,323,BELCOT,"KGC10,M100A"
E112-99-300C,球头,E112-99-300C,BALL JOINT FORD ESCAPE 2000 MODEL LOWER FROTISE,170,340,FROTISE,"BJ 98,ESCAPE 00"
DT-094,离合器片,DT-094,CLUTCH PLATE 1HZ/14B (21TEETH) FROTISE,430,860,FROTISE,"14B,1HZ,4BE1"
43330-09510,球头,43330-09510,BALL JOINT HILUX VIGO KUN15 KUN25 KUN40 HILUX REVO GUN125 FORTUNER GUN60 LOWER JOKITO,170,340,JOKITO,"KUN15,KUN25,KUN40"
K2342,刹车蹄,K2342,BRAKE SHOE VITZ SSP95 NCP131 ALLION NZT260 AURIS ZRE151 AXIO NZE141 NCZ2# RR POWERKING,161.5,323,POWERKING,"AZT240,KSP90,NCZ2#"
K2350,刹车蹄,K2350,BRAKE SHOE VITZ SCP10 DUET M100A RR POWERKING,161.5,323,POWERKING,"M100A,SCP1#"
45503-49105,内球头,45503-49105,RACK END IPSUM NEW MODEL ACM21 FROTISE,160,320,FROTISE,ACM21
MK332303,球头,MK332303,BALL JOINT CANTER 4D35 UPPER FROTISE,260,520,FROTISE,4D35
5M513290BA,外球头,5M513290BA,TIE ROD END MAZDA3 M3 AXELA PREMACY CREW LH FROTISE,160,320,FROTISE,"CREW,M3"
7PK1550,风扇皮带,7PK1550,FAN BELT 7PK1550 MARK X GRX12# FROTISE,160,320,FROTISE,GRX12#
43360-39075,球头,43360-39075,BALL JOINT HILUX LN101/106 UPPER 4WD FROTISE,210,420,FROTISE,LN6#
GUT-20,万向节,GUT-20,UNIVERSAL JOINT TOYOTA LAND CRUISER/COASTER HZJ7# COASTER BB4# BELCOT,150,300,BELCOT,"BB4#,HZJ78"
8-97235-777-0,球头,8-97235-777-0,BALL JOINT ISUZU D-MAX TFR5# UPPER L/R 2WD FROTISE,240,480,FROTISE,TFR5# 2WD
21067-GA050,球头,21067-GA050,BALL JOINT SUBARU LEGACY BC2/BC3/BC5 LOWER FROTISE,160,320,FROTISE,"S10,S11,S12,G10,G11,G12,B10(S),B11(S),B12(S),B13(S),B14(S)"
MF12019,电池夹,MF12019,BATTERY TERMINAL UNIVERSAL (10 PCS) SNG,160,320,SNG,UNIVERSAL
43350-29065,球头,43350-29065,BALL JOINT HIACE LH113 UPPER JOKITO,150,300,JOKITO,LH11#
51270-S04-013,球头,51270-S04-013,BALL JOINT HONDA CRV RD1 UPPER JOKITO,95,190,JOKITO,RD1
12363-28060B,拉杆衬套,12363-28060B,ENGINE MOUNTING BUSH HARRIER MCU10 SV30 ACU30 ANH10 (BIG)(12309-20090) FROTISE,160,320,FROTISE,"MCU1#,SV30,ACV30"
43350-29065,球头,43350-29065,BALL JOINT HIACE LH113/172 UPPER (CBT-34) FROTISE,210,420,FROTISE,LH11#
40110-2S485,上球头,40110-2S485,BALL JOINT NISSAN HARDBODY D22 UPPER FROTISE,160,320,FROTISE,D22
40110-EB30A,球头,40110-EB30A,BALL JOINT NISSAN NAVARA D40M UPPER FROTISE,170,340,FROTISE,D40M
LM12649/10,轮毂轴承,LM12649/10,WHEEL BEARING HIACE LH11# NISSAN CARAVAN E24 BELCOT,40,80,BELCOT,"E24,L200,LH113"
43350-39075,球头,43350-39075,BALL JOINT HILUX YN8# UPPER FROTISE,180,360,FROTISE,YN8#
MB860830,球头,MB860830,BALL JOINT MITSUBISHI PAJERO MONTERO V3#/V44/V24 UPPER FROTISE,170,340,FROTISE,V3#
UH71-32-280,外球头,UH71-32-280,"TIE ROD END FORD RANGER ES,ET/MAZDA B1600,B2200,B2600 2WD/4WD FROTISE",160,320,FROTISE,BT50 2WD
43310-09015,球头,43310-09015,BALL JOINT HILUX VIGO KUN15 KUN25 KUN40 GRN245 UPPER JOKITO,135,270,JOKITO,"KUN15,KUN25,KUN40,GRN245"
50821-SAA-013,机脚胶,50821-SAA-013,ENGINE MOUNTING RR HONDA FIT GD# FROTISE,155,310,FROTISE,GD#
YB12221-99A22,球头,YB12221-99A22,BALL JOINT Ford RANGER T6 UPPER FROTISE,0,0,FROTISE,T6
43330-19085,球头,43330-19085,BALL JOINT STARLET EP9# LOWER R/L FROTISE,155,310,FROTISE,"EP9#,EL4#"
D5066,刹车片,D5066,BRAKE PAD HONDA CRV RD4 RD5 RE1 FIT SWIFT RR POWERKING,155,310,POWERKING,"RD5,YA11S"
12361-54143,机脚胶,12361-54143,ENGINE MOUNTING FR LH113 FROTISE,155,310,FROTISE,LH11#
48061-35050,悬挂臂衬套,48061-35050,ARM BUSH PRADO KZJ95 LOWER (HEAVY DUTY) FROTISE,152,304,FROTISE,KZJ9#
MR374521,平衡杆球头,MR374521,STABILIZER LINK FR LH PAJERO V7# FROTISE,115,230,FROTISE,V7#
MR374522,平衡杆球头,MR374522,STABILIZER LINK FR RH PAJERO V7# FROTISE,115,230,FROTISE,V7#
43512-12550,刹车盘,43512-12550,BRAKE DISC COROLLA VVTI NZE120 FR FROTISE,390,780,FROTISE,AE11#
43512-20470,刹车盘,43512-20470,BRAKE DISC CORONA CALDINA CARINA PREMIO ST210/AT210 FR (ODM255) FROTISE,470,940,FROTISE,"ST19#,AT21#,AZT24#"
43512-26140,刹车盘,43512-26140,BRAKE DISC HIACE LH113 FR (6 HOLES) FROTISE,560,1120,FROTISE,"LH11#,HIACE AFTER 95"
17801-54100,空气滤芯,17801-54100,AIR ELEMENT HIACE 1TR/1RZ/2RZ/5L/3L/2L  DRIVEPAL,95,300,DRIVEPAL,LH113
17801-30040,空气滤芯,17801-30040,AIR ELEMENT PRADO KZJ120 TRJ120 1KD 2UZ 2TR 3RZ 1KZ 5L 5VZ (A21194) DRIVEPAL,120,300,DRIVEPAL,KZJ12#
MB334308,刹车盘,MB334308,BRAKE DISC MITSUBISHI CANTER 4D32 4D33 FR FROTISE,630,1260,FROTISE,4D32
RP2008,方向机防尘套,RP2008,STEERING RACK BOOT COROLLA AE100 FROTISE,50,100,FROTISE,"AE100,AE110"
47201-09230,制动总泵,47201-09230,BRAKE MASTER CYLINDER HILUX VIGO KUN25 (SOUTH AFRICA MODEL)(NON STRAIGHT) FROTISE,610,1220,FROTISE,"KUN15,KUN25 SOUTH AFRICA"
17801-31090,空气滤芯,17801-31090,AIR ELEMENT TOYOTA LC PRADO KZJ120/ HILUX SURF GRN215/LAND CRUISER GRJ79 DRIVEPAL,120,300,DRIVEPAL,GRJ12#
TO-03-23,三叉轴承,TO-03-23,TRIPOD UNIVERSAL JOINT COROLLA VVTI NZE120 STARLET EP81 PROBOX NCP50 ZCT10 (23TEETH) FROTISE,95,190,FROTISE,"EP81,NCP50,NZE120,ZCT10"
16546-HA300,空气滤芯,16546-HA300,AIR FILTER NISSAN VANETTE S21 DIESEL DRIVEPAL,140,300,DRIVEPAL,S21
48702-0K010,悬挂臂衬套,48702-0K010,ARM BUSH FORTUNER GUN156 KUN40 RR UPPER FROTISE,150,300,FROTISE,"GUN156,KUN40"
47201-60680,制动总泵,47201-60680,BRAKE MASTER CYLINDER PRADO KZJ9# FROTISE,540,1080,FROTISE,KZJ9#
45022-SHJ-A50,刹车片,45022-SHJ-A50,BRAKE PAD HONDA CRV RE# ODYSSEY RB FR POWERKING,370,740,POWERKING,RE#
48702-60130,悬挂臂衬套,48702-60130,ARM BUSH RR HEAVY DUTY VDJ200 FROTISE,150,300,FROTISE,VDJ200
D1211,刹车片,D1211,BRAKE PAD X-TRAIL T30/TERRANO R50/ELGRAND E5# /SERENA C24/ CARAVAN E24 FR POWERKING,290,580,POWERKING,"T30,R50"
D1244,刹车片,D1244,BRAKE PAD X-TRAIL T30 T31 TEANA J31 MURANO Z50 RR POWERKING,240,480,POWERKING,"T30,B16,B17,S35,Z50,Z51"
D1250,刹车片,D1250,BRAKE PAD MARCH K12 TIIDA C11 FR POWERKING,170,340,POWERKING,K12
D1263,刹车片,D1263,BRAKE PAD NISSAN NAVARA HARDBODY NP300 D22 FR POWERKING,340,680,POWERKING,"D22,R50"
TO-67,外球笼,TO-67,C.V.JOINT PRADO KZJ120 30*30*70 JOKITO,590,1180,JOKITO,KZJ120
D1276,刹车片,D1276,BRAKE PAD X-TRAIL T31 CERAMIC FR POWERKING,320,640,POWERKING,"T31,B16"
TO-35A,外球笼,TO-35A,C V JOINT VITZ NCP1# NCP2# NCP3# NCP5# NCP6# NCP8# 23*24*58 (A48T)(WITH ABS) JOKITO,310,620,JOKITO,"NCP2#,NCP5#"
48702-60140,悬挂臂衬套,48702-60140,BUSH RR  VDJ201 BIG (HEAVY DUTY) FROTISE,150,300,FROTISE,VDJ200
D2118,刹车片,D2118,BRAKE PAD FR COROLLA AE111 MARK II GX90/GX100 CORONA ST191 RAV4 SXA11 (A391、A394) POWERKING,200,400,POWERKING,"GX90,ST191,SXA11,SXM1#,SXV20"
D2118,刹车片,D2118,BRAKE PAD COROLLA AE111 MARK II GX90/GX100 CORONA ST191 RAV4 SXA11 (A391、A394) FR JOKITO,110,220,JOKITO,"GX90,ST191,SXA11,SXM1#,SXV20"
D2121,刹车片,D2121,BRAKE PAD NOAH SR40 FR JOKITO,130,260,JOKITO,SR40
HLL02-5002-L,转向灯,HLL02-5002-L,CORNER LAMP NISSAN X-TRAIL T30 LH DJ,150,300,DJ,X-TRAIL T30
TO-4-562,三叉轴承,TO-4-562,TRIPOD UNIVERSAL JOINT/SPIDER BEARING HILUX VIGO KUN25 29 TEETH FROTISE,310,620,FROTISE,KUN25
D2174,刹车片,D2174,BRAKE PAD VITZ SCP1# NCP2# NCP5# FR JOKITO,110,220,JOKITO,"NCP2#,NCP5#,SCP1#,NCP10"
HLL02-5002-R,转向灯,HLL02-5002-R,CORNER LAMP NISSAN X-TRAIL T30 RH DJ,150,300,DJ,X-TRAIL T30
343360,减震器,343360,SHOCK ABSORBER NOAH SR50 RR 4WD SHIELD,150,300,SHIELD,SR50
45503-29836,内球头,45503-29836,RACK END HIACE KDH200 TRH201 2WD (SMALL HOLE) FROTISE,150,300,FROTISE,KDH200
D2202,刹车片,D2202,BRAKE PAD RAV4 ACA2# FR POWERKING,280,560,POWERKING,ACA2#
UR58-39-040B,机脚胶,UR58-39-040B,ENGINE MOUNTING FR FORD RANGER BT50 2WD/4WD FROTISE,210,420,FROTISE,BT50
D2217,刹车片,D2217,BRAKE PAD NOAH/VOXY AZR6#/IPSUM ACM2#/AVANSIS AZT220 FR JOKITO,140,280,JOKITO,"AZR6#,ACM2#,ZZE130"
43330-39435,下球头,43330-39435,BALL JOINT HARRIER ACU3# MCU1# LOWER JOKITO,150,300,JOKITO,"ACU3#,MCU1#,SXV20"
D2219,刹车片,D2219,BRAKE PAD KLUGER MCU20 WISH ANE10 RR POWERKING,220,440,POWERKING,"ANE10,ACV30,ACU20"
16361-54040,风扇叶,16361-54040,FAN BLADE 3L(FROTISE),150,300,FROTISE,"3L,14B SMALL"
D2223,刹车片,D2223,BRAKE PAD ALPHARD ANH10 AVENSIS AZT25# CAMRY ACV3# FR JOKITO,170,340,JOKITO,"ANH10,MCL20"
16400-21180BB,上水室,16400-21180BB,RADIATOR SIDE COVER COROLLA VVTI NZE120 RH (THIN TYPE) SNG,142.5,285,SNG,NZE12#
D3120,刹车片,D3120,BRAKE PAD MAZDA DEMIO NEW MODEL DY FR JOKITO,142.5,285,JOKITO,DY
D2242,刹车片,D2242,BRAKE PAD MARK X GRX120 MARK II GX110 ALETZZA GXE10 PROGRES JCG10 FR POWERKING,280,560,POWERKING,"GRX12#,GRX13#"
17201-30160-S,涡轮增压器,17201-30160-S,TURBO CHARGER 1KD-FTV WITH SENSOR HILUX KUN15 PRADO KDJ150 FOTUNER KUN60 FROTISE,9850,19700,FROTISE,"1KD-FTV,KDJ120,KDJ150"
MR508130,上球头,MR508130,BALL JOINT MITSUBISHI PAJERO V7# UPPER RR FROTISE,380,760,FROTISE,V7#
51320-SAA-003,平衡杆球头,51320-SAA-003,STABILIZER LINK HONDA FIT GD1 FR RH FROTISE,120,240,FROTISE,GD# 5 DOOR
GUM-75,万向节,GUM-75,UNIVERSAL JOINT MITSUBISHI CANTER 4D35 FROTISE BELCOT,142.5,285,BELCOT,4D35
48632-60020,悬挂臂衬套,48632-60020,ARM BUSH PRADO KZJ120 UPPER FROTISE,142.5,285,FROTISE,KZJ12#
51220-SEL-T01,下球头,51220-SEL-T01,BALL JOINT HONDA FIT GD1 LOWER L/R FROTISE,82,164,FROTISE,GD1
#N/A,刹车片,#N/A,#N/A,150,300,POWERKING,4D33
45503-59075,内球头,45503-59075,RACK END ALPHARD ANH10 FROTISE,165,330,FROTISE,"ACR30,ANH10,ATH10,MNH10"
D6089,刹车片,D6089,BRAKE PAD PAJERO IO H6#/PAJERO MINI H66W FR POWERKING,240,480,POWERKING,H6#
D6091,刹车片,D6091,BRAKE PAD MITSUBISHI CANTER 4D34/4D35 FR POWERKING,590,1180,POWERKING,4D35
D6106,刹车片,D6106,BRAKE PAD PAJERO V7# RR POWERKING,270,540,POWERKING,V7#
#N/A,刹车片,#N/A,#N/A,320,640,POWERKING,"4D34,4D35"
D9029,刹车片,D9029,BRAKE PAD PASSO KGC1# SWIFT HT51 HT81 FR POWERKING,210,420,POWERKING,"HT51,KGC1#"
D2252,刹车片,D2252,BRAKE PAD NCP60 KSP90 KSP130 NCP140 FR POWERKING,250,500,POWERKING,KSP90
D1250,刹车片,D1250,BRAKE PAD MARCH K12/NOTE E11/WINGROAD Y12/TIIDA C11/LANCER Y12 FR JOKITO,170,340,JOKITO,K12
30502-1W716,分离轴承,30502-1W716,CLUTCH RELEASE BEARING NP300 NV350 TD27 BELCOT,142.5,285,BELCOT,"TD27,QD32,YD25,QR20"
D2252,刹车片,D2252,BRAKE PAD NCP60 KSP90 KSP130 NCP140 FR JOKITO,140,280,JOKITO,KSP90
45460-09040,外球头,45460-09040,TIE ROD END ACR30 ALPHARD NEW MODEL ANH10 MC12# RH FROTISE,240,480,FROTISE,"ACR30,ANH10,MC12#"
45470-09030,外球头,45470-09030,TIE ROD END ACR30 ALPHARD NEW MODEL ANH10 MC12# LH FROTISE,240,480,FROTISE,"ACR30,ANH10,MC12#"
UC3C-34-156A,平衡杆胶套,UC3C-34-156A,STABILIZER BUSH FORD RANGER T6 FR FROTISE,70,140,FROTISE,T6
17801-28010,空气滤芯,17801-28010,AIR ELEMENT 2AZ ALPHARD ANH10 2AZ/RAV4 ACA21 1AZFSE DRIVEPAL,85,280,DRIVEPAL,"ACA2#,ACR3#"
D5091,刹车片,D5091,BRAKE PAD HONDA CRV RD1 CIVIC ACCORD FR JOKITO,150,300,JOKITO,"RD1,EP2"
D1211,刹车片,D1211,BRAKE PAD X-TRAIL T30/TERRANO R50/ELGRAND E5# /SERENA C24/ CARAVAN E24 FR JOKITO,150,300,JOKITO,"T30,R50"
D1244,刹车片,D1244,BRAKE PAD NISSAN X-TRAIL T30 T31/TEANA J31 RR JOKITO,120,240,JOKITO,"T30,B16,B17,S35,Z50,Z51"
D5019,刹车片,D5019,BRAKE PAD HONDA FIT JAZZ GD# GE6 CIVIC FR JOKITO,120,240,JOKITO,GD#
D2173,刹车片,D2173,BRAKE PAD MARK II GX11# ALTEZZA GXE10 CROWN GS17# PROGRES JCG1# RR JOKITO,110,220,JOKITO,GX11#
D6060,刹车片,D6060,BRAKE PAD MITSUBISHI CANTER 4D33 FR JOKITO,150,300,JOKITO,4D33
D2232,刹车片,D2232,BRAKE PAD HARRIER MCU1# FR JOKITO,130,260,JOKITO,MCU1#
D2112,刹车片,D2112,BRAKE PAD MARKII JZX90 RCH1# RR JOKITO,130,260,JOKITO,"JZX90,RCH1#"
D2114,刹车片,D2114,BRAKE PAD HARRIER ACU10 SXU10 RR JOKITO,130,260,JOKITO,"ACU10,SXU10"
D6113,刹车片,D6113,BRAKE PAD MITSUBISHI CANTER 4D34 4D35 FR (4PCS ) JOKITO,190,380,JOKITO,"4D34,4D35"
FA1696,空气滤芯,FA1696,AIR ELEMENT FORD ESCAPE 2000 DRIVEPAL,100,280,DRIVEPAL,ESCAPE 00
D6071,刹车片,D6071,BRAKE PAD CANTER 4M40 4D32 FE516 FR JOKITO,160,320,JOKITO,FE516
D9029,刹车片,D9029,BRAKE PAD PASSO KGC1# SUZUKI SWIFT HT51/HT81 FR JOKITO,120,240,JOKITO,"HT51,KGC1#"
17801-31110,空气滤芯,17801-31110,AIR ELEMENT MARK X GRX12# LEXUS CROWN 3GRFSE 4GRFSE DRIVEPAL,95,280,DRIVEPAL,GRX12#
04465-0K240,刹车片,04465-0K240,BRAKE PAD HILUX VIGO KUN25 FR (SA MODEL) JOKITO,190,380,JOKITO,KUN25 SOUTH AFRICA
D2090,刹车片,D2090,BRAKE PAD PRADO KZJ7# KZJ95 KZJ120 GRJ15# PAJERO V9# FORTUNER GRN21# GGN15# RR (CERAMIC)116.2*44*15.4 JOKITO,150,300,JOKITO,"KZJ120,KZJ95"
#N/A,刹车蹄,#N/A,#N/A,65,130,MOTORBON,"AE10#,AE8#,AE9#,ST191,AT211,EXZ1#"
K2350,刹车蹄,K2350,BRAKE SHOE VITZ SCP10 SCP10 DUET M100A RR POWERKING,140,280,POWERKING,"M100A,SCP1#"
#N/A,刹车蹄,#N/A,#N/A,0,0,POWERKING,KUN25
23390-51070,柴油滤芯,23390-51070,FUEL ELEMENT TOYOTA LAND CRUISER HZJ79/VDJ200 1HZ/1VDFTV DRIVEPAL,70,140,DRIVEPAL,VDJ200
K2280,刹车蹄,K2280,BRAKE SHOE LAND CRUISER HZJ78 HZJ105 LY161 RR POWERKING,480,960,POWERKING,"HZJ105,HZJ78"
16546-V0100,空气滤芯,16546-V0100,"AIR ELEMENT NISSAN QR20,QG15DE,QR25DE,VQ23DE, SUNNY B15,X TRAIL T30,MURANO Z50 DRIVEPAL",80,280,DRIVEPAL,"QG15DE,QR25DE,VQ23DE,B15,T30,Z50"
K2339,刹车蹄,K2339,BRAKE SHOE NOAH AZR60/SR40/RUSH J200/ TERIOS J100 RR POWERKING,250,500,POWERKING,"SR40,J200,SXN1#,SXM1#"
12305-15040B,机脚胶胶芯,12305-15040B,ENGINE MOUNTING BUSHING AE100/AE110 4AFE/5AFE FROTISE,140,280,FROTISE,"AE10#,AE11#"
48702-60050,衬套,48702-60050,ARM BUSH LAND CRUISER HDJ81 HZJ105 LOWER (HEAVY DUTY) FROTISE,140,280,FROTISE,HZJ105
D5019,刹车片,D5019,BRAKE PAD HONDA FIT JAZZ GD# CIVIC ED1 FR POWERKING,140,280,POWERKING,GD#
48820-0K010,平衡杆球头,48820-0K010,STABILIZER LINK FR R/L TOYOTA HILUX VIGO KUN15  2WD FROTISE,140,280,FROTISE,KUN15
48331-12120,缓冲胶,48331-12120,RUBBER BUFFER FR COROLLA AE10# FROTISE,30,60,FROTISE,AE10#
43330-19095,下球头,43330-19095,BALL JOINT COROLLA AE100/CORONA/CARINA/PREMIO ST190 AT211 LOWER FROTISE,140,280,FROTISE,"ACA2#,AE10#,AT21#,NZE12#,ZZE130,AE110"
48750-35G25,付邦肽衬套,48750-35G25,IDLER ARM BUSH NISSAN HARDBODY D22 FROTISE,15,30,FROTISE,D22
16400-2Y505,汽油滤清器,16400-2Y505,PETROL FILTER NISSAN X-TRAIL T30 DRIVEPAL,120,280,DRIVEPAL,"T30,P12"
48725-20370,后桥衬套,48725-20370,REAR AXLE BUSH HARRIER 2WD MCU10 ACU35 FROTISE,70,140,FROTISE,"ACU35,MCU10"
48725-42080,后桥衬套,48725-42080,AXLE BUSH RAV4 ACA21 RR FROTISE,140,280,FROTISE,ACA2#
